gene	isoname	is_basic
EFHD2	EFHD2-202	0
CTRC	CTRC-201	1
CTRC	CTRC-202	1
CELA2A	CELA2A-201	1
CELA2B	CELA2B-201	1
CELA2B	CELA2B-202	0
CASP9	CASP9-210	1
CASP9	CASP9-201	1
CASP9	CASP9-202	1
CASP9	CASP9-205	0
CASP9	CASP9-203	1
CASP9	CASP9-207	0
CASP9	CASP9-206	0
CASP9	CASP9-208	0
DNAJC16	DNAJC16-201	1
DNAJC16	DNAJC16-210	1
DNAJC16	DNAJC16-203	1
DNAJC16	DNAJC16-202	1
AGMAT	AGMAT-201	1
DDI2	DDI2-202	1
RSC1A1	RSC1A1-201	1
PLEKHM2	PLEKHM2-202	1
PLEKHM2	PLEKHM2-201	1
PLEKHM2	PLEKHM2-205	1
SLC25A34	SLC25A34-201	1
TMEM82	TMEM82-201	1
FBLIM1	FBLIM1-208	0
FBLIM1	FBLIM1-211	0
FBLIM1	FBLIM1-213	0
FBLIM1	FBLIM1-204	0
FBLIM1	FBLIM1-203	1
FBLIM1	FBLIM1-214	0
FBLIM1	FBLIM1-209	0
FBLIM1	FBLIM1-207	0
FBLIM1	FBLIM1-210	0
FBLIM1	FBLIM1-202	1
FBLIM1	FBLIM1-205	0
FBLIM1	FBLIM1-206	1
FBLIM1	FBLIM1-201	1
UQCRHL	UQCRHL-201	1
SPEN	SPEN-206	0
SPEN	SPEN-201	1
SPEN	SPEN-202	0
SPEN	SPEN-203	0
ZBTB17	ZBTB17-203	0
ZBTB17	ZBTB17-202	1
ZBTB17	ZBTB17-216	1
ZBTB17	ZBTB17-201	1
ZBTB17	ZBTB17-204	0
SRARP	SRARP-201	1
HSPB7	HSPB7-204	1
HSPB7	HSPB7-201	1
HSPB7	HSPB7-202	1
HSPB7	HSPB7-206	0
HSPB7	HSPB7-207	1
HSPB7	HSPB7-203	1
CLCNKA	CLCNKA-202	1
CLCNKA	CLCNKA-203	1
CLCNKA	CLCNKA-201	1
CLCNKB	CLCNKB-204	1
CLCNKB	CLCNKB-202	1
CLCNKB	CLCNKB-201	1
CLCNKB	CLCNKB-203	0
FAM131C	FAM131C-201	1
EPHA2	EPHA2-201	1
ARHGEF19	ARHGEF19-201	1
ARHGEF19	ARHGEF19-203	0
ARHGEF19	ARHGEF19-202	0
CPLANE2	CPLANE2-201	1
CPLANE2	CPLANE2-202	0
FBXO42	FBXO42-201	1
FBXO42	FBXO42-203	0
FBXO42	FBXO42-202	0
